lat,lon,loc
17.59633,120.618517,BANGUED (ABRA)
17.378889,120.82103,BOLINEY (ABRA)
17.537932,120.71864,BUCAY (ABRA)
17.441359,120.857243,BUCLOC (ABRA)
17.459107,120.926274,DAGUIOMAN (ABRA)
17.693178,120.665157,DANGLAS (ABRA)
17.648951,120.708813,DOLORES (ABRA)
17.670366,120.683375,LA PAZ (ABRA)
17.664456,120.94441,LACUB (ABRA)
17.61287,120.733654,LAGANGILANG (ABRA)
17.720928,120.705802,LAGAYAN (ABRA)
17.575521,120.564324,LANGIDEN (ABRA)
17.571561,120.901837,LICUAN-BAAY (ABRA)
17.31737,120.694466,LUBA (ABRA)
17.574396,121.007013,MALIBCONG (ABRA)
17.432459,120.703819,MANABO (ABRA)
17.564062,120.65096,PEÑARRUBIA (ABRA)
17.569852,120.589597,PIDIGAN (ABRA)
17.414832,120.595357,PILAR (ABRA)
17.455254,120.760137,SALLAPADAN (ABRA)
17.465802,120.602297,SAN ISIDRO (ABRA)
17.683819,120.732683,SAN JUAN (ABRA)
17.543102,120.518375,SAN QUINTIN (ABRA)
17.617067,120.653629,TAYUM (ABRA)
17.721841,120.821426,TINEG (ABRA)
17.258386,120.724626,TUBO (ABRA)
17.438104,120.625064,VILLAVICIOSA (ABRA)
8.953445,125.529231,CITY OF BUTUAN (AGUSAN DEL NORTE)
9.121417,125.546388,CITY OF CABADBARAN (AGUSAN DEL NORTE)
8.97469,125.409104,BUENAVISTA (AGUSAN DEL NORTE)
8.989919,125.295711,CARMEN (AGUSAN DEL NORTE)
9.34264,125.515995,JABONGA (AGUSAN DEL NORTE)
9.449718,125.578495,KITCHARAO (AGUSAN DEL NORTE)
8.736126,125.601228,LAS NIEVES (AGUSAN DEL NORTE)
9.01844,125.51728,MAGALLANES (AGUSAN DEL NORTE)
8.988383,125.341162,NASIPIT (AGUSAN DEL NORTE)
9.053573,125.586009,REMEDIOS T. ROMUALDEZ (AGUSAN DEL NORTE)
9.265869,125.558231,SANTIAGO (AGUSAN DEL NORTE)
9.169522,125.5319,TUBAY (AGUSAN DEL NORTE)
8.713022,125.751526,CITY OF BAYUGAN (AGUSAN DEL SUR)
8.179197,125.995056,BUNAWAN (AGUSAN DEL SUR)
8.678796,125.646474,ESPERANZA (AGUSAN DEL SUR)
8.279929,125.806686,LA PAZ (AGUSAN DEL SUR)
8.178904,125.858704,LORETO (AGUSAN DEL SUR)
8.59968,125.91699,PROSPERIDAD (AGUSAN DEL SUR)
8.381604,126.002316,ROSARIO (AGUSAN DEL SUR)
8.506996,125.974484,SAN FRANCISCO (AGUSAN DEL SUR)
8.499392,125.737903,SAN LUIS (AGUSAN DEL SUR)
7.984168,126.028691,SANTA JOSEFA (AGUSAN DEL SUR)
8.819384,125.692815,SIBAGAT (AGUSAN DEL SUR)
8.448779,125.784666,TALACOGON (AGUSAN DEL SUR)
8.035618,126.064313,TRENTO (AGUSAN DEL SUR)
8.069465,125.955124,VERUELA (AGUSAN DEL SUR)
11.538404,122.487629,ALTAVAS (AKLAN)
11.555774,122.38,BALETE (AKLAN)
11.639831,122.332428,BANGA (AKLAN)
11.586906,122.496301,BATAN (AKLAN)
11.844699,121.888607,BURUANGA (AKLAN)
11.821851,122.161336,IBAJAY (AKLAN)
11.70863,122.366954,KALIBO (AKLAN)
11.666371,122.32813,LEZO (AKLAN)
11.482187,122.305017,LIBACAO (AKLAN)
11.527273,122.306108,MADALAG (AKLAN)
11.712271,122.292491,MAKATO (AKLAN)
11.899784,121.909678,MALAY (AKLAN)
11.643208,122.309217,MALINAO (AKLAN)
11.828165,122.092413,NABAS (AKLAN)
11.64797,122.433757,NEW WASHINGTON (AKLAN)
11.703827,122.328705,NUMANCIA (AKLAN)
11.777455,122.260761,TANGALAN (AKLAN)
13.138296,123.734562,CITY OF LEGAZPI (ALBAY)
13.240041,123.536086,CITY OF LIGAO (ALBAY)
13.359459,123.730758,CITY OF TABACO (ALBAY)
13.294768,123.792562,BACACAY (ALBAY)
13.182093,123.655691,CAMALIG (ALBAY)
13.149156,123.713025,DARAGA (ALBAY)
13.191395,123.599169,GUINOBATAN (ALBAY)
13.072738,123.598282,JOVELLAR (ALBAY)
13.299623,123.436996,LIBON (ALBAY)
13.31873,123.739023,MALILIPOT (ALBAY)
13.397605,123.704934,MALINAO (ALBAY)
13.123664,123.867232,MANITO (ALBAY)
13.25737,123.499478,OAS (ALBAY)
